NAME,ADDRESS,LATITUDE,LONGITUDE,AMENITY_TYPE,PHONE_NUMBER,ENVIRONMENT,COUNTER
Fountain location:Park Site On South East False Creek,NE side of the park,49.272236414414316,-123.109428620318852,WaterFountain,null,Outdoor,0
Fountain location:Park Site On South East False Creek - Hinge,,49.271050700047034,-123.110205999991535,WaterFountain,null,Outdoor,0
Fountain location:Pioneer Place (Pigeon Park),,49.281662899858887,-123.104505000387832,WaterFountain,null,Outdoor,0
Fountain location:Queen Elizabeth Park - 37th and Ontario,37th and Ontario,49.237420000211912,-123.105620999822619,WaterFountain,null,Outdoor,0
Fountain location:Queen Elizabeth Park - At Conservatory,At Conservatory,49.242275000411787,-123.113543000243368,WaterFountain,null,Outdoor,0
Fountain location:Queen Elizabeth Park - Pitch and Putt Course,Pitch and Putt Course,49.239167000399114,-123.111541999672113,WaterFountain,null,Outdoor,0
Fountain location:Quilchena Park,W-side of fieldhouse,49.244620000185463,-123.148828000254980,WaterFountain,null,Outdoor,0
Fountain location:Renfrew Community Park,adjacent to wading pool,49.252110000108949,-123.042085999774187,WaterFountain,null,Outdoor,0
Fountain location:Riley Park,West side of the park,49.242582726230346,-123.104807230918368,WaterFountain,null,Outdoor,0
Fountain location:Riverfront Park - East of washrooms,E-side of washrooms,49.205755000389559,-123.051817000621497,WaterFountain,null,Outdoor,0
Fountain location:Riverfront Park - West of tennis courts,w-side of tennis courts,49.205739000067389,-123.050981000318586,WaterFountain,null,Outdoor,0
Fountain location:Robson Park,N-side of wading pool,49.257792000092273,-123.091911999926722,WaterFountain,null,Outdoor,0
Fountain location:Ross Park,in front of wading pool,49.216811000279769,-123.082434000270126,WaterFountain,null,Outdoor,0
Fountain location:Ross Park,near shelter,49.216947000199106,-123.082635000047645,WaterFountain,null,Outdoor,0
Fountain location:Rupert Park,E-side of playground,49.271120000413639,-123.033079000014311,WaterFountain,null,Outdoor,0
Fountain location:Rupert Park - East of fieldhouse,E-side of Field house,49.270148000074400,-123.030627000498370,WaterFountain,null,Outdoor,0
Fountain location:Rupert Park - South of golf entrance booth,S-side of golf entrance booth,49.273071000416913,-123.030635999886030,WaterFountain,null,Outdoor,0
Fountain location:Seaforth Peace Park,S end plaza,49.270990000233859,-123.146205000055787,WaterFountain,null,Outdoor,0
Fountain location:Seawall - Creekside ,Seawall - in front of Creekside Community Recreation Centre,49.272076901776686,-123.105753845439622,WaterFountain,null,Outdoor,0
Fountain location:Shannon Mews Park,,49.219597857846793,-123.141491315436639,WaterFountain,null,Outdoor,0
Fountain location:Slocan Greenway ,12th and slocan,49.258254273549618,-123.049751006918640,WaterFountain,null,Outdoor,0
Fountain location:Slocan Park,near playground,49.244294000212420,-123.048373000360868,WaterFountain,null,Outdoor,0
Fountain location:Spanish Banks Beach Park,on north wall of washrooms,49.277483999992995,-123.222395999337408,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Admin building,Park Board Office,49.291033557299464,-123.145379704380574,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Brockton Cricket Pavilion,Brockton Clubhouse,49.299062975159636,-123.124291357072806,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Brockton Oval Fieldhouse,brockton oval,49.299649423788665,-123.126153454160615,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Brockton Point Viewpoint,Brockton point - lighthouse,49.300769032874136,-123.117131045038789,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Ceperley Washrooms,Ceperley washrooms,49.293645306813836,-123.148721580614733,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Dog Off-leash area,Beside Dog off-leash area,49.292524524404989,-123.144676748172273,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Lawn Bowling Club,Lawn Bowling,49.291473002858403,-123.146904442972513,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Legends Of The Moon Washroom,Legends Of The Moon - Washroom,49.299527804580372,-123.121300089638666,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Lumbermen's Arch,Lumbermen's Arch,49.302999999735739,-123.130695000661447,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - North east of Rose and Perennial Ga,,49.299024002316798,-123.134159469582769,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Prospect Point Lookout,Prospect Point viewing,49.313382427142464,-123.142452599558425,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Prospect Point Picnic Site,Prospect Point picnic area,49.310617943033591,-123.148203299789913,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Prospect Point Washrooms,prospect point washrooms,49.312387693272193,-123.142730486318214,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Putting Green,Pitch and Putt Course,49.293007000330547,-123.146486999569944,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Second Beach,Second Beach,49.294878994454855,-123.150027364280589,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Second Beach Pool,Second Beach pool deck,49.295467199852105,-123.151055999623040,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - South west of playground,Rose Garden playground,49.297870348319293,-123.134986376356963,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Stanley Park Pavilion,pavillion outside washrooms,49.299499640708632,-123.133804935979441,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Tennis Courts,near Tennis Courts & Fish House,49.292219621013800,-123.146012493695125,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - Third Beach Seawall,Third beach seawall,49.303155999741705,-123.156334999871106,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - West of Restaurant ,W - side of Fish House,49.292239000347855,-123.147000000188896,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - West of Shore to Shore sculpture,Totem poles,49.298951383635426,-123.120690088735756,WaterFountain,null,Outdoor,0
Fountain location:Stanley Park - West side of Stanley Park Train,,49.301561600170260,-123.134528999615000,WaterFountain,null,Outdoor,0
Fountain location:Strathcona Park - North west of basketball court,besides basketball court,49.275909621477538,-123.085577225743350,WaterFountain,null,Outdoor,0
Fountain location:Strathcona Park - besides baseball diamond,besides baseball diamond,49.274827000079227,-123.086688999327649,WaterFountain,null,Outdoor,0
Fountain location:Sunrise Park,N-side of wading pool,49.266893000106812,-123.035669000582374,WaterFountain,null,Outdoor,0
Fountain location:Sunset Beach ,on building wall ,49.278895999847371,-123.138020000352824,WaterFountain,null,Outdoor,0
Fountain location:Sunset Park,front of wading pool,49.222849301284029,-123.096482187335212,WaterFountain,null,Outdoor,0
Fountain location:Sutcliffe Park,S-side of false creek communit,49.269120999848695,-123.134031000332413,WaterFountain,null,Outdoor,0
Fountain location:Tea Swamp Park,NE corner of park,49.257355999819531,-123.098590000309784,WaterFountain,null,Outdoor,0
Fountain location:Tecumseh Park,middle of park,49.229607699639196,-123.070190999797759,WaterFountain,null,Outdoor,0
Fountain location:Tisdall Park,near North baseball diamond,49.228371000190236,-123.118266000140849,WaterFountain,null,Outdoor,0
Fountain location:Trafalgar Park,E-side of wading pool,49.251273000313404,-123.163837000221392,WaterFountain,null,Outdoor,0
Fountain location:Trillium Park,on west side of building ,49.274960300192248,-123.093121999750522,WaterFountain,null,Outdoor,0
Fountain location:Vancouver Technical HS,NE of the sport field,49.260519093631160,-123.050134814471505,WaterFountain,null,Outdoor,0
Fountain location:Vandusen Botanical Garden,near reflecting pond,49.239401300331700,-123.129438999779268,WaterFountain,null,Outdoor,0
Fountain location:Vandusen Botanical Garden - upper gardens,upper gardens,49.238615400121432,-123.129938999365308,WaterFountain,null,Outdoor,0
Fountain location:Vanier Park (Burrard Civic Marina),,49.275111999887628,-123.139768999575111,WaterFountain,null,Outdoor,0
Fountain location:Victoria Park,adjacent to children's play area,49.271612967330206,-123.066762284782413,WaterFountain,null,Outdoor,0
Fountain location:Victory Square,south corner of park,49.281845000093732,-123.110066000410484,WaterFountain,null,Outdoor,0
Fountain location:W.C. Shelly Park,,49.263047999886957,-123.073108000582906,WaterFountain,null,Outdoor,0
Fountain location:West End minipark,Bute & Haro,49.285189999813120,-123.128044999669939,WaterFountain,null,Outdoor,0
Fountain location:West End minipark - JERVIS ST @ BURNABY ST,north end,49.281987000127288,-123.136051999558958,WaterFountain,null,Outdoor,0
Fountain location:West Point Grey Park - North of wading pool,N-side of wading pool,49.266021000107450,-123.205261999702486,WaterFountain,null,Outdoor,0
Fountain location:West Point Grey Park - lawn bowling court,In lawn bowling court,49.266853604644268,-123.205161207434884,WaterFountain,null,Outdoor,0
Fountain location:Winona Park,near playground,49.215839000431671,-123.113059000144261,WaterFountain,null,Outdoor,0
Fountain location:Woodland Park,in front of wading pool,49.278442000267972,-123.073423999943415,WaterFountain,null,Outdoor,0
Bottle Filling Station location: Charleson Park Pumping Station,North side of sewage pumping station 900 Charleson,49.266341099999998,-123.125913999999995,WaterFountain,null,Outdoor,0
Bottle Filling Station location: Grandview Hwy Pumping Station ,,49.257924000000003,-123.041381000000001,WaterFountain,null,Outdoor,0
Bottle Filling Station location: Granville Island Pumping Station,North side of sewage pumping station on seawall east of the granville island entrance,49.269565999999998,-123.136177000000004,WaterFountain,null,Outdoor,0
Bottle Filling Station location: Granville St Pumping Station,North side of sewage pumping station under Granville Bridge on bike route,49.273334499999997,-123.131579000000002,WaterFountain,null,Outdoor,0
Bottle Filling Station location: Kitsilano Pumping Station,North side of sewage pumping station on w/s/ 1300 Arbutus,49.273714200000001,-123.152780600000000,WaterFountain,null,Outdoor,0
Bottle Filling Station location: Thornton Park Pumping Station,West side of sewage pumping station on w/s/ 1200 Station St,49.273036800000000,-123.098885999999993,WaterFountain,null,Outdoor,0
Fountain location:1650 W 7th,"Midblock, outside of 1650 W 7th",49.265329000000001,-123.142081000000005,WaterFountain,null,Outdoor,0
Fountain location:28th & Main,Northeast corner of 28th & Main,49.245761999999999,-123.101020000000005,WaterFountain,null,Outdoor,0
Fountain location:37th & Oak,Southeast corner of 37th & Oak,49.237586999999998,-123.127384000000006,WaterFountain,null,Outdoor,0
Fountain location:37th & Ontario,Northwest corner of 37th & Ontario,49.237445999999998,-123.105647000000005,WaterFountain,null,Outdoor,0
Fountain location:37th & Prince Edward,Northwest corner of 37th & Prince Edward,49.237195200000002,-123.097282949999993,WaterFountain,null,Outdoor,0
Fountain location:39th & Nanaimo,Southwest corner of 39th & Nanaimo,49.234752000000000,-123.058912000000007,WaterFountain,null,Outdoor,0
Fountain location:4th & Arbutus,Northeast corner of 4th & Arbutus,49.268227770000003,-123.152705999999995,WaterFountain,null,Outdoor,0
Fountain location:56th & Ontario,Northwest corner of 56th & Ontario,49.219504999999998,-123.106414999999998,WaterFountain,null,Outdoor,0
Fountain location:7th & Yukon,Southwest corner of 7th & Yukon,49.264659899999998,-123.112966999999998,WaterFountain,null,Outdoor,0
Fountain location:Ashburn & Elliot,Northwest corner of Ashburn & Elliot,49.218754799999999,-123.055043999999995,WaterFountain,null,Outdoor,0
Fountain location:Broadway & Ontario,Southwest corner of Broadway & Ontario,49.262875000000001,-123.105025999999995,WaterFountain,null,Outdoor,0
Fountain location:Broadway & Stephens,Northwest corner of Broadway & Stephens,49.264235139999997,-123.166647400000002,WaterFountain,null,Outdoor,0
Fountain location:Broadway & Victoria,Southeast corner of Broadway & Victoria,49.262065999999997,-123.065618999999998,WaterFountain,null,Outdoor,0
Fountain location:Burrard & Davie,Northwest corner of Burrard & Davie,49.279247545381203,-123.129232100620001,WaterFountain,null,Outdoor,0
Fountain location:Cardero & Burnaby,In the mini park at Cardero & Burnaby,49.284519879999998,-123.139554390000001,WaterFountain,null,Outdoor,0
Fountain location:Commercial & 3rd,Northeast corner of Commercial & 3rd,49.267819400000000,-123.069390670000004,WaterFountain,null,Outdoor,0
Fountain location:Comox & Cardero,Northeast corner of Comox & Cardero,49.286738399999997,-123.136516000000000,WaterFountain,null,Outdoor,0
Fountain location:Comox & Chilco,In mini park at Comox & Chilco,49.290674070000001,-123.142646859999999,WaterFountain,null,Outdoor,0
Fountain location:Comox & Denman,Northwest corner of Comox & Denman,49.288785699999998,-123.139690000000002,WaterFountain,null,Outdoor,0
Fountain location:Denman & Nelson,Southwest corner of Denman & Nelson,49.289224830000002,-123.138548540000002,WaterFountain,null,Outdoor,0
Fountain location:Elgin & 37th,Northwest corner of Elgin & 37th,49.236527400000000,-123.084036999999995,WaterFountain,null,Outdoor,0
Fountain location:Gilford & Comox,Northwest corner of Gilford & Comox,49.289777030000003,-123.141286550000004,WaterFountain,null,Outdoor,0
Fountain location:Gilford & Nelson,Northwest corner of Gilford & Nelson,49.290498659999997,-123.140225160000000,WaterFountain,null,Outdoor,0
Fountain location:Granville & 59th,Northeast corner of Granville & 59th,49.217311700000003,-123.139585999999994,WaterFountain,null,Outdoor,0
Fountain location:Granville & Robson,Northwest corner of Granville & Robson,49.281542000000002,-123.119936999999993,WaterFountain,null,Outdoor,0
Fountain location:Hastings & Gore,Northeast corner of Hastings & Gore,49.281385999999998,-123.097230999999994,WaterFountain,null,Outdoor,0
